# time Tc_folded Tref_folded model 
59297.261002 -12.233217 0.326428     1.777125
59297.292784 -12.201435 0.327000     1.774192
59297.324566 -12.169653 0.327571     1.771245
59297.356348 -12.137871 0.328143     1.768283
59297.388130 -12.106089 0.328715     1.765306
59297.419912 -12.074307 0.329287     1.762314
59297.451694 -12.042525 0.329859     1.759308
59297.483476 -12.010743 0.330430     1.756286
59297.515258 -11.978961 0.331002     1.753251
59297.547040 -11.947179 0.331574     1.750200
59297.578822 -11.915397 0.332146     1.747135
59297.610604 -11.883615 0.332718     1.744055
59297.642386 -11.851833 0.333289     1.740961
59297.674168 -11.820051 0.333861     1.737852
59297.705950 -11.788269 0.334433     1.734729
59297.737732 -11.756487 0.335005     1.731591
59297.769514 -11.724705 0.335577     1.728438
59297.801296 -11.692923 0.336148     1.725271
59297.833078 -11.661141 0.336720     1.722090
59297.864860 -11.629359 0.337292     1.718894
59297.896642 -11.597577 0.337864     1.715684
59297.928424 -11.565795 0.338436     1.712459
59297.960206 -11.534013 0.339007     1.709220
59297.991988 -11.502231 0.339579     1.705967
59298.023770 -11.470449 0.340151     1.702699
59298.055552 -11.438668 0.340723     1.699416
59298.087334 -11.406886 0.341295     1.696120
59298.119116 -11.375104 0.341866     1.692809
59298.150898 -11.343322 0.342438     1.689484
59298.182680 -11.311540 0.343010     1.686145
59298.214462 -11.279758 0.343582     1.682791
59298.246244 -11.247976 0.344153     1.679423
59298.278026 -11.216194 0.344725     1.676041
59298.309807 -11.184412 0.345297     1.672645
59298.341589 -11.152630 0.345869     1.669235
59298.373371 -11.120848 0.346441     1.665811
59298.405153 -11.089066 0.347012     1.662372
59298.436935 -11.057284 0.347584     1.658919
59298.468717 -11.025502 0.348156     1.655452
59298.500499 -10.993720 0.348728     1.651972
59298.532281 -10.961938 0.349300     1.648477
59298.564063 -10.930156 0.349871     1.644968
59298.595845 -10.898374 0.350443     1.641445
59298.627627 -10.866592 0.351015     1.637908
59298.659409 -10.834810 0.351587     1.634357
59298.691191 -10.803028 0.352159     1.630792
59298.722973 -10.771246 0.352730     1.627213
59298.754755 -10.739464 0.353302     1.623621
59298.786537 -10.707682 0.353874     1.620014
59298.818319 -10.675900 0.354446     1.616393
